"","casekey","sctcite","year","justice","vote","house","business","person","car","search","warrant","lctpc","lctinc","lctaft","lctunl","except","segcov","ideology","mqscore","sctdec","other","notprop","us","arrest","unanmous","gates_justices"
"1",1,90441,1963,"Black",0,"no","yes","no","no","yes","no","no",0,0,"yes",0,0.75,3.87,-1.466125,"LIB","no","no",1,"yes",0,0
"2",1,90441,1963,"Stewart",1,"no","yes","no","no","yes","no","no",0,0,"yes",0,0.5,0.56,0.4975496,"LIB","no","no",1,"yes",0,0
"3",1,90441,1963,"Warren",0,"no","yes","no","no","yes","no","no",0,0,"yes",0,0.5,0.56,-1.282662,"LIB","no","no",1,"yes",0,0
"4",1,90441,1963,"Warren",0,"yes","no","no","no","yes","no","no",0,0,"yes",0,0.5,0.56,-1.282662,"LIB","no","no",1,"yes",0,0
"5",1,90441,1963,"Harlan",1,"no","yes","no","no","yes","no","no",0,0,"yes",0,0.75,0.87,2.497686,"LIB","no","no",1,"yes",0,0
"6",1,90441,1963,"Brennan",0,"yes","no","no","no","yes","no","no",0,0,"yes",0,1,2.78,-0.8833125,"LIB","no","no",1,"yes",0,1
"7",1,90441,1963,"White",1,"yes","no","no","no","yes","no","no",0,0,"yes",0,0,1.54,0.020127,"LIB","no","no",1,"yes",0,1
"8",1,90441,1963,"Harlan",1,"yes","no","no","no","yes","no","no",0,0,"yes",0,0.75,0.87,2.497686,"LIB","no","no",1,"yes",0,0
"9",1,90441,1963,"Stewart",1,"yes","no","no","no","yes","no","no",0,0,"yes",0,0.5,0.56,0.4975496,"LIB","no","no",1,"yes",0,0
"10",1,90441,1963,"Douglas",0,"yes","no","no","no","yes","no","no",0,0,"yes",0,0.46,3.5,-5.646268,"LIB","no","no",1,"yes",0,0
"11",1,90441,1963,"Black",0,"yes","no","no","no","yes","no","no",0,0,"yes",0,0.75,3.87,-1.466125,"LIB","no","no",1,"yes",0,0
"12",1,90441,1963,"Brennan",0,"no","yes","no","no","yes","no","no",0,0,"yes",0,1,2.78,-0.8833125,"LIB","no","no",1,"yes",0,1
"13",1,90441,1963,"White",1,"no","yes","no","no","yes","no","no",0,0,"yes",0,0,1.54,0.020127,"LIB","no","no",1,"yes",0,1
"14",1,90441,1963,"Douglas",0,"no","yes","no","no","yes","no","no",0,0,"yes",0,0.46,3.5,-5.646268,"LIB","no","no",1,"yes",0,0
"15",2,100462,1963,"Warren",1,"no","no","yes","no","yes","no","no",0,0,"no",0,0.5,0.56,-1.282662,"CON","no","no",1,"no",0,0
"16",2,100462,1963,"White",1,"no","no","yes","no","yes","no","no",0,0,"no",0,0,1.54,0.020127,"CON","no","no",1,"no",0,1
"17",2,100462,1963,"Brennan",0,"no","no","yes","no","yes","no","no",0,0,"no",0,1,2.78,-0.8833125,"CON","no","no",1,"no",0,1
"18",2,100462,1963,"Black",1,"no","no","yes","no","yes","no","no",0,0,"no",0,0.75,3.87,-1.466125,"CON","no","no",1,"no",0,0
"19",2,100462,1963,"Stewart",1,"no","no","yes","no","yes","no","no",0,0,"no",0,0.5,0.56,0.4975496,"CON","no","no",1,"no",0,0
"20",2,100462,1963,"Douglas",0,"no","no","yes","no","yes","no","no",0,0,"no",0,0.46,3.5,-5.646268,"CON","no","no",1,"no",0,0
"21",2,100462,1963,"Harlan",1,"no","no","yes","no","yes","no","no",0,0,"no",0,0.75,0.87,2.497686,"CON","no","no",1,"no",0,0
"22",3,100726,1963,"Warren",0,"yes","no","no","no","yes","no","yes",1,0,"no",0,0.5,0.56,-1.282662,"CON","no","no",0,"yes",0,0
"23",3,100726,1963,"White",1,"yes","no","no","no","yes","no","yes",1,0,"no",0,0,1.54,0.020127,"CON","no","no",0,"yes",0,1
"24",3,100726,1963,"Brennan",0,"yes","no","no","no","yes","no","yes",1,0,"no",0,1,2.78,-0.8833125,"CON","no","no",0,"yes",0,1
"25",3,100726,1963,"Black",1,"yes","no","no","no","yes","no","yes",1,0,"no",0,0.75,3.87,-1.466125,"CON","no","no",0,"yes",0,0
"26",3,100726,1963,"Harlan",1,"yes","no","no","no","yes","no","yes",1,0,"no",0,0.75,0.87,2.497686,"CON","no","no",0,"yes",0,0
"27",3,100726,1963,"Douglas",0,"yes","no","no","no","yes","no","yes",1,0,"no",0,0.46,3.5,-5.646268,"CON","no","no",0,"yes",0,0
"28",3,100726,1963,"Stewart",1,"yes","no","no","no","yes","no","yes",1,0,"no",0,0.5,0.56,0.4975496,"CON","no","no",0,"yes",0,0
"29",4,110777,1964,"Douglas",0,"no","no","no","yes","yes","no","yes",0,1,"no",0,0.46,3.5,-5.81023,"LIB","no","no",1,"yes",1,0
"30",4,110777,1964,"White",0,"no","no","no","yes","yes","no","yes",0,1,"no",0,0,1.54,-0.0727635,"LIB","no","no",1,"yes",1,1
"31",4,110777,1964,"Black",0,"no","no","no","yes","yes","no","yes",0,1,"no",0,0.75,3.87,-0.9782829,"LIB","no","no",1,"yes",1,0
"32",4,110777,1964,"Harlan",0,"no","no","no","yes","yes","no","yes",0,1,"no",0,0.75,0.87,2.31512,"LIB","no","no",1,"yes",1,0
"33",4,110777,1964,"Warren",0,"no","no","no","yes","yes","no","yes",0,1,"no",0,0.5,0.56,-1.077519,"LIB","no","no",1,"yes",1,0
"34",4,110777,1964,"Brennan",0,"no","no","no","yes","yes","no","yes",0,1,"no",0,1,2.78,-0.7460035,"LIB","no","no",1,"yes",1,1
"35",4,110777,1964,"Stewart",0,"no","no","no","yes","yes","no","yes",0,1,"no",0,0.5,0.56,0.6485934,"LIB","no","no",1,"yes",1,0
